tconst,titleType,originalTitle,startYear,runtimeMinutes,numVotes,ordering,region,main_genre,secondary_genre
103064,movie,Terminator 2: Judgment Day,1991,137,1128166,17,US,Action,Sci-Fi
231050,tvSeries,ToransufÃ´mÃ¢: KÃ¢robotto,2000,22,577,16,US,Action,Adventure
253474,movie,The Pianist,2002,150,860569,7,US,Biography,Drama
369339,movie,Collateral,2004,120,417391,6,US,Action,Crime
439547,movie,2 Filhos de Francisco: A HistÃ³ria de ZezÃ© di Camargo & Luciano,2005,132,5946,5,US,Biography,Drama
790636,movie,Dallas Buyers Club,2013,117,502242,3,US,Biography,Drama
10687506,movie,The Electrical Life of Louis Wain,2021,111,17455,37,US,Biography,Drama
10925770,movie,"Himeul naeyo, Miseuteo Lee",2019,111,487,3,US,Comedy,Drama
10954984,movie,Nope,2022,130,234283,43,US,Horror,Mystery
11247158,tvSeries,The Legend of Vox Machina,2022,30,35526,12,US,Action,Adventure
11681282,movie,Le bal des folles,2021,122,3732,12,US,Drama,Thriller
1222816,movie,Pollen,2011,81,676,6,US,Documentary,Family
1270798,movie,X: First Class,2011,131,706738,43,US,Action,Sci-Fi
1300854,movie,Iron Man Three,2013,130,872400,24,US,Action,Adventure
1337047,movie,Angels in Exile,2016,78,51,2,US,Documentary,No tiene
14033416,movie,Rengeteg - Mindenhol lÃ¡tlak,2021,112,378,1,US,Drama,No tiene
1411245,movie,Kwanini,2011,102,25,4,US,Documentary,No tiene
1442188,tvMiniSeries,Wildes Russland,2008,360,639,9,US,Documentary,No tiene
1478839,movie,The Art of Racing in the Rain,2019,109,34530,35,US,Comedy,Drama
1483324,movie,At Middleton,2013,99,8867,16,US,Comedy,Romance
1650062,movie,Super 8,2011,112,361538,52,US,Action,Mystery
1699720,movie,Women Art Revolution,2010,83,252,5,US,Documentary,No tiene
1745718,movie,Holbrook/Twain: An American Odyssey,2014,93,44,2,US,Biography,Documentary
1759660,movie,G.W.B.,2011,90,109,2,US,Drama,No tiene
1876277,movie,Into the White,2012,104,21902,13,US,Action,Biography
1934172,movie,Heroes of Dirt,2015,98,116,1,US,Action,Drama
1950186,movie,Ford v Ferrari,2019,152,423492,17,US,Action,Biography
1951181,movie,The Immigrant,2013,120,32935,25,US,Drama,Romance
1967651,movie,Unconditional,2012,92,755,5,US,Drama,Thriller
2106476,movie,Jagten,2012,115,343367,36,US,Drama,No tiene
2262275,movie,The One Who Loves You,2013,95,60,3,US,Comedy,Drama
2277296,tvSeries,Guntucky,2013,60,17,4,US,Reality-TV,No tiene
2328387,tvSeries,Washington Heights,2013,60,88,3,US,Reality-TV,No tiene
2392672,movie,RÃ©alitÃ©,2014,95,6410,6,US,Comedy,No tiene
2401814,movie,The Loneliest Whale: The Search for 52,2021,96,452,2,US,Adventure,Documentary
2412748,movie,Saving Mes Aynak,2014,60,1038,2,US,Documentary,No tiene
2564156,movie,In God We Trust,2013,82,32,4,US,Documentary,No tiene
2645000,movie,The Sarnos: A Life in Dirty Movies,2013,100,513,6,US,Biography,Documentary
2690226,movie,The Chaperone,2018,108,1784,12,US,Drama,No tiene
2713778,movie,Cathedrals of Culture,2014,165,278,9,US,Documentary,No tiene
2802008,tvSeries,Once Upon a Time in Wonderland,2013,42,12649,15,US,Adventure,Drama
2935516,movie,Money,2017,90,445,10,US,Thriller,No tiene
2948372,movie,Soul,2020,100,348650,51,US,Adventure,Animation
3080844,movie,Crocodile Gennadiy,2015,96,514,7,US,Biography,Documentary
3463250,movie,A Despedida,2014,90,129,1,US,Drama,No tiene
3513500,movie,Chip 'n Dale: Rescue Rangers,2022,97,44062,46,US,Action,Adventure
3561180,tvSeries,ÃfÃ¦rÃ°,2015,60,23575,13,US,Crime,Drama
3682448,movie,Bridge of Spies,2015,142,319346,11,US,Drama,History
3829920,movie,Only the Brave,2017,134,73502,25,US,Action,Biography
3909224,tvSeries,Nanatsu no taizai,2014,24,34929,38,US,Action,Adventure
4121306,movie,Lac Gioi,2014,93,75,4,US,Action,Drama
4263482,movie,The VVitch: A New-England Folktale,2015,92,278711,2,US,Drama,Fantasy
4337894,tvMiniSeries,"You, Me and the Apocalypse",2015,30,7802,8,US,Comedy,Drama
4460792,movie,Calm with Horses,2019,100,6378,14,US,Crime,Drama
4575576,movie,Christopher Robin,2018,104,81198,33,US,Adventure,Comedy
4633694,movie,Spider-Man: Into the Spider-Verse,2018,117,601056,34,US,Action,Adventure
4642192,movie,Trautmann,2018,120,6035,3,US,Biography,Drama
4717402,movie,Mutafukaz,2017,94,4884,23,US,Action,Animation
4912910,movie,Mission: Impossible - Fallout,2018,147,347314,28,US,Action,Adventure
4935462,movie,Amazing Grace,2018,89,4919,4,US,Documentary,Music
5013056,movie,Dunkirk,2017,106,686165,19,US,Action,Drama
5021208,movie,Hands of God,2020,75,10,3,US,Sport,War
5057054,tvSeries,Jack Ryan,2018,60,151816,43,US,Action,Drama
5882982,movie,22-nenme no kokuhaku: Watashi ga satsujinhan desu,2017,118,2157,14,US,Action,Crime
6067752,movie,Lucifer,2019,175,11862,7,US,Action,Crime
6133484,movie,Raakshas,2018,115,53,3,US,Adventure,Drama
6330246,movie,L'Ã©cole buissonniÃ¨re,2017,116,1772,9,US,Comedy,Drama
6428150,movie,Free Dance,2016,103,2138,2,US,Music,Romance
6484074,tvMiniSeries,Legacy: The True Story of the LA Lakers,2022,60,1264,25,US,Documentary,History
6514010,movie,Brij Mohan Amar Rahe,2017,105,3864,9,US,Comedy,Crime
6705860,movie,Diane,2018,95,1607,6,US,Drama,No tiene
6854966,movie,PequeÃ±os HÃ©roes,2017,76,20,5,US,Animation,No tiene
7019942,movie,Super Deluxe,2019,176,16278,13,US,Comedy,Crime
7161312,tvSeries,Informer,2018,60,6199,13,US,Crime,Drama
7279188,movie,Kona fer Ã­ strÃ­Ã°,2018,101,10767,25,US,Adventure,Comedy
7297960,movie,Fen bei ren sheng,2017,91,300,4,US,Drama,No tiene
7298400,movie,Jiang hu er nÃ¼,2018,136,10057,34,US,Crime,Drama
7406320,tvSeries,History of Horror,2018,42,2428,18,US,Documentary,Horror
7468056,movie,Beomjoidosi,2017,121,10207,20,US,Action,Crime
7967412,movie,Quien a hierro mata,2019,107,8325,4,US,Drama,Thriller
8076344,movie,Pengin haiwei,2018,117,3464,11,US,Adventure,Animation
8080302,movie,Penguins,2019,76,1777,2,US,Documentary,Family
