titleType,startYear,runtimeMinutes,averageRating,numVotes,region,main_genre,secondary_genre
movie,1991,137,"8,6",1128166,US,Action,Sci-Fi
tvSeries,2000,22,"6,6",577,US,Action,Adventure
movie,2002,150,"8,5",860569,US,Biography,Drama
movie,2004,120,"7,5",417391,US,Action,Crime
movie,2005,132,"6,9",5946,US,Biography,Drama
movie,2013,117,"7,9",502242,US,Biography,Drama
movie,2019,111,"6,9",487,US,Comedy,Drama
movie,2022,130,"6,8",234283,US,Horror,Mystery
tvSeries,2022,30,"8,4",35526,US,Action,Adventure
movie,2021,122,"6,6",3732,US,Drama,Thriller
movie,2011,81,"7,3",676,US,Documentary,Family
movie,2020,122,"6,9",2689,US,Comedy,Drama
movie,2011,131,"7,7",706738,US,Action,Sci-Fi
movie,2013,130,"7,1",872400,US,Action,Adventure
movie,2016,78,7,51,US,Documentary,No tiene
movie,2021,112,"6,7",378,US,Drama,No tiene
movie,2011,102,"8,9",25,US,Documentary,No tiene
tvMiniSeries,2008,360,"8,3",639,US,Documentary,No tiene
movie,2019,109,"7,5",34530,US,Comedy,Drama
movie,2013,99,"6,5",8867,US,Comedy,Romance
movie,2011,112,7,361538,US,Action,Mystery
movie,2010,83,"6,8",252,US,Documentary,No tiene
movie,2014,93,"8,9",44,US,Biography,Documentary
movie,2011,90,"6,6",109,US,Drama,No tiene
movie,2012,104,"7,1",21902,US,Action,Biography
movie,2015,98,"7,1",116,US,Action,Drama
movie,2019,152,"8,1",423492,US,Action,Biography
movie,2013,120,"6,6",32935,US,Drama,Romance
movie,2012,92,"6,6",755,US,Drama,Thriller
movie,2012,115,"8,3",343367,US,Drama,No tiene
movie,2013,95,"8,1",60,US,Comedy,Drama
tvSeries,2013,60,"6,7",17,US,Reality-TV,No tiene
tvSeries,2013,60,"6,6",88,US,Reality-TV,No tiene
movie,2014,95,"6,9",6410,US,Comedy,No tiene
movie,2021,96,"6,5",452,US,Adventure,Documentary
movie,2014,60,9,1038,US,Documentary,No tiene
movie,2013,82,"7,6",32,US,Documentary,No tiene
movie,2013,100,"6,6",513,US,Biography,Documentary
movie,2018,108,"6,6",1784,US,Drama,No tiene
movie,2014,165,"6,9",278,US,Documentary,No tiene
tvSeries,2013,42,"6,9",12649,US,Adventure,Drama
movie,2017,90,"6,5",445,US,Thriller,No tiene
movie,2020,100,8,348650,US,Adventure,Animation
movie,2015,96,"7,5",514,US,Biography,Documentary
movie,2014,90,"7,3",129,US,Drama,No tiene
movie,2022,97,7,44062,US,Action,Adventure
tvSeries,2015,60,8,23575,US,Crime,Drama
movie,2015,142,"7,6",319346,US,Drama,History
movie,2017,134,"7,6",73502,US,Action,Biography
tvSeries,2014,24,"7,8",34929,US,Action,Adventure
movie,2015,92,7,278711,US,Drama,Fantasy
tvMiniSeries,2015,30,"7,6",7802,US,Comedy,Drama
movie,2019,100,"6,8",6378,US,Crime,Drama
movie,2018,104,"7,2",81198,US,Adventure,Comedy
movie,2018,117,"8,4",601056,US,Action,Adventure
movie,2018,120,"7,2",6035,US,Biography,Drama
movie,2017,94,"6,7",4884,US,Action,Animation
movie,2018,147,"7,7",347314,US,Action,Adventure
movie,2018,89,"7,5",4919,US,Documentary,Music
movie,2017,106,"7,8",686165,US,Action,Drama
movie,2020,75,"8,3",10,US,Sport,War
tvSeries,2018,60,8,151816,US,Action,Drama
movie,2017,118,"6,8",2157,US,Action,Crime
movie,2019,175,"7,5",11862,US,Action,Crime
movie,2018,115,"7,4",53,US,Adventure,Drama
movie,2017,116,"6,9",1772,US,Comedy,Drama
tvMiniSeries,2022,60,"8,3",1264,US,Documentary,History
movie,2017,105,"6,6",3864,US,Comedy,Crime
movie,2018,95,"6,7",1607,US,Drama,No tiene
movie,2017,76,"7,7",20,US,Animation,No tiene
movie,2019,176,"8,3",16278,US,Comedy,Crime
tvSeries,2018,60,"7,8",6199,US,Crime,Drama
movie,2018,101,"7,4",10767,US,Adventure,Comedy
movie,2017,91,"6,6",300,US,Drama,No tiene
movie,2018,136,7,10057,US,Crime,Drama
tvSeries,2018,42,"8,1",2428,US,Documentary,Horror
movie,2017,121,"7,2",10207,US,Action,Crime
movie,2019,107,"6,6",8325,US,Drama,Thriller
movie,2018,117,"7,1",3464,US,Adventure,Animation
movie,2019,76,"7,1",1777,US,Documentary,Family
tvMiniSeries,2018,243,"7,6",801,US,Documentary,History
movie,2019,77,"6,6",10764,US,Comedy,Horror
tvMiniSeries,2018,60,"7,9",1368,US,Documentary,Sci-Fi
movie,2019,86,"7,6",7362,US,Documentary,War
movie,2018,106,8,125,US,Documentary,No tiene
tvSeries,2021,614,"7,1",2120,US,Biography,Documentary
movie,2019,119,"7,2",14345,US,Crime,Documentary
movie,2019,141,"6,6",6074,US,Action,Drama
movie,2019,157,"8,5",20070,US,Drama,Sport
movie,2019,131,"7,1",2483,US,Comedy,Drama
tvSeries,1990,25,"8,6",126053,IN,Comedy,Family
tvMiniSeries,1990,680,"9,1",17372,IN,Documentary,History
tvSeries,1990,22,"7,9",139767,IN,Comedy,No tiene
tvMiniSeries,1990,226,"8,5",14747,IN,Drama,No tiene
tvSeries,1990,47,"8,8",205176,IN,Crime,Drama
movie,1990,150,"8,2",3103,IN,Drama,No tiene
movie,1990,181,8,277896,IN,Adventure,Drama
